word,mean,frequence,std,scores
glowing,1.7,2945,0.458257569,"[2, 2, 1, 2, 1, 2, 2, 2, 1, 2]"
else,-0.8,2899,0.4,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, 0]"
bull,2.3,2804,0.640312424,"[3, 2, 2, 3, 2, 2, 3, 3, 2, 1]"
feel,0,2753,0.632455532,"[0, 0, 1, -1, 0, 0, 0, -1, 1, 0]"
subscribe,1.6,2697,0.489897949,"[2, 1, 2, 2, 2, 1, 1, 1, 2, 2]"
claim,0.2,2657,0.6,"[0, -1, 1, 0, 1, 0, 0, 1, 0, 0]"
such,-0.6,2615,0.489897949,"[-1, -1, 0, 0, -1, -1, 0, -1, -1, 0]"
fiat,-1.1,2575,0.830662386,"[-2, 0, -1, 0, -1, -2, -2, -2, 0, -1]"
open,1.3,2514,0.640312424,"[1, 0, 1, 1, 2, 1, 2, 2, 2, 1]"
fast,-0.6,2418,0.489897949,"[-1, -1, 0, -1, -1, -1, -1, 0, 0, 0]"
above,1.4,2360,0.663324958,"[1, 2, 2, 0, 2, 1, 1, 1, 2, 2]"
correct,1.4,2208,0.663324958,"[2, 2, 1, 0, 1, 1, 2, 2, 2, 1]"
game,-2.1,2191,0.538516481,"[-3, -2, -3, -2, -2, -2, -2, -1, -2, -2]"
needs,0.1,2063,0.538516481,"[0, 0, 0, 0, 0, 1, 1, 0, 0, -1]"
learn,-1.8,2024,0.4,"[-2, -2, -2, -2, -2, -2, -1, -1, -2, -2]"
fall,-1.9,1867,0.7,"[-2, -3, -2, -3, -2, -1, -1, -2, -2, -1]"
slightly,-1.9,1821,0.538516481,"[-1, -1, -2, -2, -2, -2, -3, -2, -2, -2]"
key,-0.4,1809,0.489897949,"[-1, 0, 0, -1, -1, -1, 0, 0, 0, 0]"
close,-1.9,1750,0.538516481,"[-1, -2, -2, -3, -1, -2, -2, -2, -2, -2]"
black,-1.4,1741,0.489897949,"[-2, -1, -1, -2, -1, -1, -2, -2, -1, -1]"
bullish,4,1733,0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
mind,-2.5,1679,0.5,"[-3, -3, -3, -2, -2, -3, -2, -2, -3, -2]"
sense,2,1650,0.632455532,"[2, 2, 2, 1, 3, 2, 3, 2, 1, 2]"
increasing,3.2,1648,0.4,"[3, 4, 3, 4, 3, 3, 3, 3, 3, 3]"
normal,1,1642,0.447213595,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 0]"
imagine,-0.2,1611,0.4,"[0, -1, 0, 0, 0, 0, 0, 0, -1, 0]"
gem,0.9,1608,0.538516481,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 2]"
moving,2.4,1581,0.489897949,"[3, 2, 3, 3, 2, 3, 2, 2, 2, 2]"
