word,mean,frequence,std,scores
felt,0,204,0.447213595,"[0, 1, -1, 0, 0, 0, 0, 0, 0, 0]"
shark,-2.5,203,0.5,"[-3, -3, -2, -2, -2, -2, -3, -2, -3, -3]"
perspective,-0.7,202,0.458257569,"[-1, -1, -1, 0, -1, -1, -1, -1, 0, 0]"
upward,1.8,201,0.6,"[2, 2, 2, 2, 3, 2, 1, 1, 2, 1]"
classic,1.3,198,0.458257569,"[1, 2, 1, 1, 2, 1, 1, 1, 1, 2]"
approve,2.3,195,0.458257569,"[2, 2, 2, 2, 2, 2, 3, 3, 2, 3]"
hole,-1.5,194,0.5,"[-2, -1, -1, -1, -2, -1, -1, -2, -2, -2]"
familiar,-1,193,0.774596669,"[-1, -2, 1, -1, -1, -1, -2, -1, -1, -1]"
master,3.7,193,0.458257569,"[4, 3, 4, 4, 3, 3, 4, 4, 4, 4]"
protection,2.3,191,0.640312424,"[3, 1, 2, 3, 3, 2, 3, 2, 2, 2]"
heavily,-3.6,188,0.663324958,"[-4, -3, -2, -3, -4, -4, -4, -4, -4, -4]"
drama,-2.6,188,0.489897949,"[-3, -2, -3, -3, -2, -2, -3, -3, -2, -3]"
dope,-1.6,184,0.8,"[-2, -1, -2, -2, 0, -3, -1, -2, -1, -2]"
particular,-0.3,183,0.640312424,"[-1, 0, 0, 0, 0, 1, -1, -1, 0, -1]"
famous,1.7,183,0.640312424,"[2, 2, 2, 1, 1, 3, 1, 2, 1, 2]"
hedge,-3.2,182,0.6,"[-3, -4, -2, -3, -4, -3, -4, -3, -3, -3]"
tiny,-1.5,182,0.670820393,"[-1, -2, -2, -2, 0, -1, -2, -2, -1, -2]"
hardly,-2,179,0.632455532,"[-2, -1, -2, -2, -2, -3, -3, -2, -2, -1]"
absolute,0.9,177,0.3,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
dance,1.5,175,0.5,"[2, 1, 2, 2, 1, 2, 1, 2, 1, 1]"
beast,-2.1,173,0.3,"[-2, -2, -3, -2, -2, -2, -2, -2, -2, -2]"
accordance,1.4,173,0.489897949,"[1, 2, 1, 2, 1, 1, 1, 2, 1, 2]"
extreme,-1.9,171,0.3,"[-2, -1, -2, -2, -2, -2, -2, -2, -2, -2]"
advisable,2,170,0.632455532,"[1, 2, 2, 3, 2, 1, 2, 2, 2, 3]"
rights,0.6,169,0.8,"[1, 2, 0, 0, 0, 0, 1, 0, 0, 2]"
fundamental,1.4,169,0.489897949,"[1, 2, 1, 1, 2, 2, 2, 1, 1, 1]"
elaborate,0.6,166,0.663324958,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 2]"
nature,-0.6,165,0.489897949,"[-1, 0, -1, 0, -1, -1, 0, -1, -1, 0]"
shady,-2.9,164,0.7,"[-2, -4, -3, -3, -3, -4, -3, -3, -2, -2]"
player,0.3,164,0.458257569,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
disabled,-0.9,160,0.538516481,"[-1, 0, -1, -1, -1, -1, -2, -1, -1, 0]"
stellar,2.8,156,0.6,"[3, 2, 3, 4, 3, 3, 2, 2, 3, 3]"
beg,-2.8,155,0.6,"[-3, -4, -3, -2, -3, -3, -2, -2, -3, -3]"
views,1.5,151,0.5,"[2, 1, 1, 1, 2, 2, 2, 1, 2, 1]"
necessarily,1.4,149,0.489897949,"[1, 2, 1, 1, 2, 1, 1, 2, 2, 1]"
feelings,0.5,148,0.5,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1]"
swing,-0.8,146,0.6,"[-1, 0, -1, 0, -2, -1, -1, -1, 0, -1]"
dying,-1.1,146,0.7,"[0, -1, -2, -1, -1, -2, -1, 0, -2, -1]"
congestion,-1.3,145,0.781024968,"[-2, -2, -1, 0, -2, 0, -2, -1, -1, -2]"
heck,-2,142,0.447213595,"[-2, -3, -1, -2, -2, -2, -2, -2, -2, -2]"
garbage,-1.5,141,0.5,"[-2, -2, -2, -1, -1, -1, -2, -1, -2, -1]"
fortune,2.1,141,0.538516481,"[1, 2, 2, 2, 3, 3, 2, 2, 2, 2]"
refresh,0.5,139,0.5,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1]"
shine,1.9,139,0.7,"[2, 2, 2, 1, 1, 3, 2, 3, 1, 2]"
independent,1.5,138,0.670820393,"[1, 2, 1, 1, 1, 2, 1, 1, 2, 3]"
rumor,-2.8,138,0.6,"[-4, -3, -3, -3, -2, -3, -2, -3, -2, -3]"
storm,-1.4,138,0.489897949,"[-1, -1, -1, -1, -1, -2, -1, -2, -2, -2]"
debate,-2.2,136,0.4,"[-2, -3, -3, -2, -2, -2, -2, -2, -2, -2]"
dare,3,136,0.632455532,"[3, 3, 3, 4, 3, 2, 2, 3, 3, 4]"
dodge,2.5,135,0.5,"[3, 3, 3, 3, 2, 3, 2, 2, 2, 2]"
legitimate,0.8,134,0.6,"[0, 1, 1, 1, 1, 1, 1, 0, 2, 0]"
rough,-2.1,133,0.538516481,"[-3, -2, -2, -1, -2, -2, -2, -2, -2, -3]"
entirely,0.7,132,0.640312424,"[0, 0, 1, 2, 1, 1, 0, 1, 0, 1]"
educational,1.9,130,0.3,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
salute,2.1,130,0.538516481,"[3, 2, 2, 2, 2, 2, 2, 2, 3, 1]"
blast,-1.5,129,0.5,"[-1, -1, -2, -2, -2, -1, -2, -1, -1, -2]"
preference,2.4,129,0.663324958,"[3, 3, 3, 2, 3, 2, 2, 2, 3, 1]"
rumors,-2.8,129,0.4,"[-2, -3, -3, -3, -3, -3, -3, -3, -2, -3]"
delusional,-2.3,127,0.781024968,"[-3, -3, -2, -1, -1, -2, -3, -3, -3, -2]"
legacy,-1.1,126,0.3,"[-1, -1, -2, -1, -1, -1, -1, -1, -1, -1]"
adaptable,1.1,126,0.3,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
awareness,0.5,124,0.5,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
wide,0.5,123,0.5,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1]"
divided,-1.8,121,0.4,"[-2, -2, -2, -2, -2, -2, -1, -2, -1, -2]"
spare,2.2,119,0.6,"[2, 2, 3, 2, 1, 2, 2, 2, 3, 3]"
fairly,1.3,119,0.458257569,"[1, 1, 1, 1, 2, 1, 1, 2, 2, 1]"
unlucky,-1.1,119,0.830662386,"[-1, -1, -1, -1, -1, -3, -2, -1, 0, 0]"
expectation,2.8,118,0.6,"[3, 2, 3, 2, 3, 3, 2, 4, 3, 3]"
statements,-0.9,116,0.538516481,"[-1, -1, 0, -1, -1, -2, -1, 0, -1, -1]"
stands,-1.1,116,0.538516481,"[-1, -1, 0, -1, -1, -1, -2, -1, -1, -2]"
logical,1.8,114,0.6,"[2, 3, 2, 2, 1, 1, 2, 2, 1, 2]"
ape,-2.4,114,0.489897949,"[-3, -2, -3, -3, -2, -2, -2, -3, -2, -2]"
hungry,-1.4,113,0.8,"[-2, -3, -2, -1, -2, -1, -1, -1, 0, -1]"
stole,-1,112,0.632455532,"[-1, -1, -1, -1, 0, -1, -2, -2, 0, -1]"
surge,2.3,112,0.458257569,"[2, 2, 3, 3, 2, 2, 2, 2, 2, 3]"
hm,0.7,111,0.458257569,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]"
particularly,-1.5,110,0.5,"[-1, -1, -1, -1, -1, -2, -2, -2, -2, -2]"
ultimately,1.8,110,0.4,"[1, 2, 1, 2, 2, 2, 2, 2, 2, 2]"
prime,0.1,110,0.538516481,"[0, 1, 0, -1, 0, 1, 0, 0, 0, 0]"
glitch,-1.5,109,0.5,"[-2, -1, -1, -2, -1, -1, -2, -1, -2, -2]"
patiently,1.9,109,0.3,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 2]"
reaction,0.9,108,0.538516481,"[1, 1, 1, 1, 1, 2, 0, 1, 1, 0]"
ultimate,2.5,108,0.5,"[2, 2, 2, 3, 3, 3, 3, 3, 2, 2]"
toxic,-2.1,108,0.538516481,"[-2, -2, -1, -2, -2, -2, -3, -2, -2, -3]"
taste,-0.8,107,0.6,"[-1, -1, 0, -2, 0, 0, -1, -1, -1, -1]"
responsibility,1.9,106,0.538516481,"[1, 2, 2, 3, 2, 2, 2, 1, 2, 2]"
ultra,2.9,106,0.7,"[4, 3, 2, 3, 2, 3, 3, 4, 3, 2]"
sentiment,2.2,106,0.4,"[2, 2, 2, 2, 2, 2, 3, 3, 2, 2]"
stars,2.2,105,0.748331477,"[3, 2, 2, 3, 2, 3, 3, 1, 1, 2]"
inflationary,-1.5,104,0.5,"[-2, -1, -2, -2, -1, -1, -2, -2, -1, -1]"
educated,1.3,104,0.781024968,"[1, 1, 0, 1, 1, 1, 1, 2, 2, 3]"
expire,-2.3,104,0.458257569,"[-3, -2, -2, -3, -2, -2, -3, -2, -2, -2]"
confounded,-0.5,104,0.670820393,"[-1, 0, -1, -1, -1, 0, 1, -1, -1, 0]"
attitude,0.3,103,0.640312424,"[0, 0, 1, 1, 0, -1, 0, 0, 1, 1]"
belief,1,103,0.632455532,"[1, 1, 0, 1, 2, 0, 2, 1, 1, 1]"
insight,2.8,103,0.4,"[3, 2, 3, 3, 3, 3, 3, 2, 3, 3]"
virus,-3.2,102,0.4,"[-3, -3, -3, -3, -4, -3, -3, -3, -4, -3]"
qualify,0.9,100,0.538516481,"[1, 1, 1, 1, 1, 1, 2, 1, 0, 0]"
mentality,1.4,100,0.489897949,"[2, 1, 1, 2, 1, 2, 1, 1, 1, 2]"
dig,2.6,99,0.663324958,"[3, 2, 3, 2, 4, 2, 2, 3, 3, 2]"
accessible,1.7,99,0.640312424,"[1, 2, 2, 2, 3, 1, 1, 1, 2, 2]"
brains,3.2,98,0.4,"[3, 3, 4, 3, 3, 3, 3, 3, 3, 4]"
weed,-2.6,97,0.663324958,"[-2, -3, -4, -3, -2, -2, -2, -3, -2, -3]"
utmost,3,97,0.447213595,"[3, 3, 3, 3, 2, 4, 3, 3, 3, 3]"
intend,-0.7,96,0.458257569,"[-1, -1, -1, -1, -1, -1, 0, 0, -1, 0]"
slight,-1.2,96,0.748331477,"[-2, -1, -1, -3, -1, -1, -1, -1, 0, -1]"
realistically,3.4,96,0.489897949,"[3, 4, 4, 3, 4, 4, 3, 3, 3, 3]"
dim,-1.2,96,0.6,"[-1, 0, -1, -1, -1, -1, -2, -2, -1, -2]"
scarcity,-2.2,95,0.6,"[-2, -3, -2, -2, -2, -3, -3, -1, -2, -2]"
dashing,3.4,95,0.489897949,"[3, 3, 3, 4, 4, 3, 3, 4, 3, 4]"
react,-1,94,0.447213595,"[-1, 0, -1, -2, -1, -1, -1, -1, -1, -1]"
firm,-1.2,94,0.6,"[-1, -2, -1, -1, -1, -1, 0, -2, -1, -2]"
driven,1.8,93,0.6,"[2, 1, 2, 2, 2, 2, 2, 1, 3, 1]"
complex,-2.5,93,0.5,"[-2, -3, -3, -2, -3, -2, -3, -2, -3, -2]"
diversified,1.9,92,0.3,"[2, 2, 2, 2, 1, 2, 2, 2, 2, 2]"
appropriate,1.8,92,0.4,"[2, 2, 1, 2, 2, 2, 1, 2, 2, 2]"
knock,-0.5,91,0.5,"[0, 0, 0, -1, -1, 0, -1, 0, -1, -1]"
drain,-2,90,0.447213595,"[-3, -1, -2, -2, -2, -2, -2, -2, -2, -2]"
intention,0.3,89,0.640312424,"[0, -1, 0, 1, 0, 1, 1, 0, 1, 0]"
naturally,1.2,89,0.6,"[1, 0, 1, 1, 2, 1, 2, 1, 1, 2]"
explicitly,2.4,89,0.489897949,"[2, 2, 2, 2, 3, 2, 2, 3, 3, 3]"
maturity,1.4,88,0.489897949,"[2, 1, 1, 1, 2, 1, 2, 1, 1, 2]"
assumption,0.1,88,0.538516481,"[0, -1, 0, 0, 0, 0, 1, 0, 0, 1]"
vice,-2.5,88,0.670820393,"[-3, -1, -3, -2, -3, -3, -3, -2, -3, -2]"
comeback,1.4,88,0.489897949,"[2, 2, 1, 1, 1, 2, 1, 2, 1, 1]"
guidance,1.8,87,0.748331477,"[1, 3, 2, 1, 2, 1, 2, 2, 1, 3]"
pointless,-0.8,87,0.6,"[-1, -2, -1, 0, -1, -1, 0, -1, -1, 0]"
aha,0.7,86,0.458257569,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 0]"
dependent,-1.1,86,0.830662386,"[-1, 0, -2, -1, -1, 0, 0, -2, -2, -2]"
congested,-1.4,86,0.489897949,"[-1, -1, -2, -2, -1, -1, -1, -2, -1, -2]"
suitable,1.5,86,0.5,"[1, 2, 1, 2, 2, 2, 1, 1, 1, 2]"
monster,-2.8,85,0.748331477,"[-3, -4, -3, -3, -3, -2, -3, -1, -3, -3]"
sharp,-1,84,0.447213595,"[-1, -1, -1, 0, -1, -1, -1, -1, -2, -1]"
convenient,3,83,0.447213595,"[2, 4, 3, 3, 3, 3, 3, 3, 3, 3]"
divide,-0.6,83,0.489897949,"[0, -1, 0, -1, -1, 0, -1, -1, 0, -1]"
fantasy,1.9,82,0.538516481,"[2, 2, 2, 3, 2, 2, 1, 1, 2, 2]"
fib,-2.4,82,0.916515139,"[-2, -4, -2, -4, -2, -3, -2, -1, -2, -2]"
dummy,-3.4,81,0.489897949,"[-3, -4, -3, -3, -3, -4, -3, -3, -4, -4]"
immediate,-0.2,80,0.4,"[0, 0, 0, 0, 0, -1, 0, 0, 0, -1]"
disable,-1.1,80,0.538516481,"[-1, -1, -1, -1, 0, -1, -1, -2, -1, -2]"
halfway,-1.1,79,0.830662386,"[-3, -1, 0, -1, -1, -2, -1, 0, -1, -1]"
sensitive,1.2,79,0.6,"[1, 1, 2, 1, 1, 1, 1, 2, 0, 2]"
established,2.3,79,0.458257569,"[3, 2, 2, 2, 3, 2, 2, 3, 2, 2]"
rumours,-2.6,79,0.489897949,"[-2, -3, -2, -3, -3, -2, -3, -2, -3, -3]"
maximize,2,78,0.632455532,"[2, 2, 3, 2, 2, 1, 3, 1, 2, 2]"
practical,1.8,78,0.4,"[2, 2, 2, 1, 2, 2, 2, 2, 1, 2]"
speculate,-0.4,78,0.489897949,"[-1, -1, 0, -1, 0, 0, 0, 0, -1, 0]"
cow,-1.5,77,0.5,"[-2, -2, -1, -2, -1, -2, -2, -1, -1, -1]"
frank,2.3,77,0.640312424,"[3, 2, 3, 3, 2, 2, 1, 3, 2, 2]"
moreover,0.2,76,0.4,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
humble,1.8,76,0.6,"[2, 2, 2, 2, 3, 1, 2, 1, 1, 2]"
promoter,2.3,75,0.640312424,"[3, 3, 2, 3, 3, 1, 2, 2, 2, 2]"
rubbish,-2.3,75,0.458257569,"[-3, -3, -2, -2, -2, -2, -2, -2, -2, -3]"
consideration,-0.9,74,0.830662386,"[-1, -2, -1, -2, -2, 0, 0, 0, -1, 0]"
affordable,2.1,73,0.538516481,"[1, 2, 2, 3, 2, 2, 3, 2, 2, 2]"
enormous,-2.3,73,0.458257569,"[-2, -2, -3, -2, -3, -2, -3, -2, -2, -2]"
concerning,-0.7,72,0.458257569,"[-1, -1, 0, 0, -1, -1, 0, -1, -1, -1]"
touches,1.3,72,0.458257569,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 2]"
consume,-1.4,71,0.489897949,"[-2, -1, -1, -1, -2, -2, -1, -1, -2, -1]"
practically,-0.4,71,0.8,"[0, -2, 0, -1, 0, 0, -1, 0, 1, -1]"
legendary,1.6,71,0.489897949,"[1, 2, 1, 2, 2, 2, 1, 1, 2, 2]"
insanely,-2.5,70,0.5,"[-3, -3, -2, -2, -2, -3, -2, -3, -3, -2]"
plain,0.8,69,0.748331477,"[0, 0, 0, 2, 2, 1, 1, 1, 1, 0]"
smash,-1.9,69,0.3,"[-2, -1, -2, -2, -2, -2, -2, -2, -2, -2]"
recommendation,2.4,69,0.663324958,"[2, 3, 3, 3, 1, 3, 2, 3, 2, 2]"
fancy,2.6,69,0.8,"[1, 2, 2, 4, 3, 3, 3, 3, 2, 3]"
rational,2.7,68,0.458257569,"[3, 3, 3, 3, 3, 2, 3, 2, 3, 2]"
sufficient,1.7,68,0.458257569,"[2, 2, 1, 2, 1, 1, 2, 2, 2, 2]"
wedge,-0.6,68,0.489897949,"[-1, 0, 0, -1, 0, 0, -1, -1, -1, -1]"
judgement,0,68,0.632455532,"[0, 1, 0, 1, 0, -1, 0, 0, -1, 0]"
nightmare,-2.9,67,0.3,"[-3, -3, -3, -3, -2, -3, -3, -3, -3, -3]"
deserved,2.7,66,0.458257569,"[3, 3, 3, 3, 2, 3, 3, 2, 2, 3]"
polite,2.6,66,0.489897949,"[2, 3, 3, 2, 3, 2, 2, 3, 3, 3]"
understandable,2.4,66,0.489897949,"[3, 2, 2, 2, 3, 3, 3, 2, 2, 2]"
usable,1.9,66,0.538516481,"[2, 2, 2, 2, 1, 2, 1, 2, 2, 3]"
redeem,2.2,65,0.4,"[2, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
emotion,0,65,0.632455532,"[-1, 1, 0, 1, 0, -1, 0, 0, 0, 0]"
mere,-1.5,64,0.5,"[-1, -1, -2, -2, -1, -2, -1, -1, -2, -2]"
exceed,2.2,64,0.4,"[2, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
reveal,-0.8,64,0.6,"[-2, 0, -1, 0, -1, 0, -1, -1, -1, -1]"
credible,1.3,64,0.640312424,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 3]"
justify,3.1,63,0.3,"[3, 3, 3, 3, 3, 3, 3, 3, 4, 3]"
cringe,-2.6,63,0.489897949,"[-3, -2, -3, -2, -2, -3, -2, -3, -3, -3]"
revolution,1.8,62,0.4,"[2, 2, 2, 2, 2, 2, 1, 2, 2, 1]"
endless,-1.7,62,0.640312424,"[-2, -2, -2, -2, -1, -1, -1, -1, -2, -3]"
indication,0.4,62,0.663324958,"[1, 0, 0, -1, 1, 1, 1, 0, 1, 0]"
splitting,-1.7,62,0.458257569,"[-1, -2, -2, -1, -2, -2, -2, -2, -2, -1]"
cooperation,0.4,62,0.663324958,"[0, 0, -1, 1, 0, 1, 0, 1, 1, 1]"
mar,-3,62,0.447213595,"[-3, -3, -3, -3, -2, -3, -3, -3, -4, -3]"
sensible,2.9,61,0.7,"[2, 4, 3, 3, 2, 3, 4, 3, 3, 2]"
prosper,2,61,0.632455532,"[2, 1, 2, 1, 2, 3, 3, 2, 2, 2]"
ego,-2.6,61,0.489897949,"[-2, -3, -3, -2, -2, -3, -3, -2, -3, -3]"
modern,1.1,61,0.538516481,"[2, 1, 1, 0, 1, 2, 1, 1, 1, 1]"
torrent,-3.3,61,0.458257569,"[-3, -3, -3, -3, -3, -4, -4, -3, -4, -3]"
urgently,-2.2,60,0.6,"[-2, -2, -3, -3, -2, -3, -2, -1, -2, -2]"
rarely,-0.8,60,0.4,"[-1, -1, 0, -1, -1, -1, 0, -1, -1, -1]"
imminent,-2.2,60,0.4,"[-2, -3, -2, -2, -2, -2, -2, -3, -2, -2]"
regard,0.4,60,0.489897949,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
tire,-1.7,60,0.640312424,"[-1, -2, -2, -1, -2, -1, -2, -1, -3, -2]"
consistent,1.4,59,0.489897949,"[2, 1, 1, 1, 2, 1, 2, 1, 2, 1]"
recommendations,2.1,59,0.538516481,"[2, 2, 3, 2, 2, 2, 3, 2, 2, 1]"
primary,-1.1,59,0.7,"[-1, -2, -1, -2, -1, 0, 0, -1, -2, -1]"
reliability,2.4,59,0.489897949,"[3, 2, 3, 2, 2, 3, 2, 2, 3, 2]"
precisely,1.4,58,0.489897949,"[2, 1, 2, 2, 1, 1, 2, 1, 1, 1]"
humanity,2.2,58,0.4,"[2, 2, 2, 3, 2, 2, 2, 2, 3, 2]"
historic,1,57,0.632455532,"[1, 1, 0, 1, 1, 1, 2, 1, 0, 2]"
thumb,-1.6,57,0.663324958,"[-2, -3, -1, -1, -2, -1, -1, -1, -2, -2]"
sinking,-1.9,56,0.3,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -1]"
compliant,1.2,56,0.6,"[2, 1, 0, 1, 2, 1, 2, 1, 1, 1]"
vast,0.9,56,0.7,"[1, 0, 1, 1, 2, 1, 1, 0, 0, 2]"
bait,-2.6,56,0.663324958,"[-2, -2, -2, -3, -3, -4, -3, -3, -2, -2]"
outlook,-0.8,55,0.4,"[-1, -1, -1, -1, -1, 0, 0, -1, -1, -1]"
static,-1.1,54,0.3,"[-1, -1, -1, -1, -1, -1, -1, -2, -1, -1]"
imagination,1.3,54,0.458257569,"[1, 1, 2, 1, 2, 1, 1, 1, 2, 1]"
baseless,-3,54,0.447213595,"[-3, -3, -3, -4, -3, -2, -3, -3, -3, -3]"
intentions,-0.9,54,0.3,"[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1]"
funded,-1,54,0.632455532,"[-1, -1, -1, -1, -2, 0, 0, -1, -2, -1]"
precise,1.6,53,0.663324958,"[2, 2, 1, 1, 1, 1, 2, 1, 2, 3]"
knowledgeable,1.4,53,0.489897949,"[2, 2, 1, 1, 2, 1, 1, 2, 1, 1]"
preach,2.1,53,0.7,"[2, 1, 2, 2, 2, 3, 2, 3, 3, 1]"
unusual,-1.6,53,0.489897949,"[-2, -1, -1, -2, -1, -2, -2, -2, -2, -1]"
anyhow,0.3,52,0.458257569,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
rat,-1.1,52,0.538516481,"[-2, -1, -1, -1, 0, -1, -1, -2, -1, -1]"
nap,-0.7,52,0.640312424,"[0, -1, -1, 0, -1, -2, -1, -1, 0, 0]"
reputable,2.2,52,0.6,"[2, 2, 3, 2, 2, 2, 3, 1, 3, 2]"
buckle,-2,52,0.632455532,"[-2, -2, -2, -3, -2, -3, -2, -1, -1, -2]"
catalyst,2.3,52,0.640312424,"[2, 2, 3, 3, 3, 2, 2, 1, 3, 2]"
vastly,1.3,51,0.458257569,"[1, 2, 1, 1, 2, 1, 2, 1, 1, 1]"
punch,-2.7,51,0.640312424,"[-2, -4, -3, -3, -2, -3, -3, -2, -2, -3]"
predictable,-0.8,51,0.6,"[0, -1, -1, -1, 0, 0, -1, -2, -1, -1]"
preferably,2.3,51,0.640312424,"[3, 3, 2, 3, 2, 2, 2, 2, 1, 3]"
elite,0.4,51,0.489897949,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
continuous,-0.8,51,0.748331477,"[-1, -2, -2, 0, -1, 0, -1, 0, -1, 0]"
judgment,-0.7,51,0.458257569,"[-1, -1, -1, 0, -1, -1, 0, -1, -1, 0]"
miracles,2.2,51,0.4,"[3, 2, 3, 2, 2, 2, 2, 2, 2, 2]"
productive,1.9,50,0.7,"[2, 1, 2, 3, 2, 2, 3, 2, 1, 1]"
knife,-1.1,50,0.538516481,"[-1, -1, -1, -1, -1, 0, -2, -2, -1, -1]"
compensate,2.4,50,0.489897949,"[3, 2, 2, 2, 3, 3, 2, 2, 2, 3]"
angel,0.6,50,0.663324958,"[0, 1, 1, 2, 0, 0, 0, 1, 1, 0]"
duty,-1.1,49,0.538516481,"[-1, -1, -2, -1, 0, -2, -1, -1, -1, -1]"
personality,3.1,49,0.3,"[3, 3, 3, 3, 3, 4, 3, 3, 3, 3]"
absurd,-2.1,49,0.7,"[-2, -3, -3, -3, -1, -2, -2, -2, -2, -1]"
furthermore,0.8,49,0.4,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]"
autonomous,0.9,49,0.538516481,"[1, 1, 0, 1, 1, 1, 2, 1, 1, 0]"
rapid,0.2,49,0.6,"[0, 1, 1, 1, 0, 0, 0, -1, 0, 0]"
fundamentally,1.4,49,0.489897949,"[2, 2, 1, 1, 1, 1, 1, 2, 1, 2]"
functional,2.8,49,0.4,"[3, 3, 3, 3, 2, 3, 3, 3, 3, 2]"
civil,2,49,0.447213595,"[2, 2, 2, 2, 2, 3, 1, 2, 2, 2]"
essential,1.9,48,0.7,"[2, 3, 2, 1, 1, 1, 2, 2, 3, 2]"
beggar,-1.2,48,0.6,"[-2, -1, 0, -1, -1, -1, -2, -1, -2, -1]"
lesser,-1.4,47,0.489897949,"[-2, -1, -1, -2, -1, -1, -2, -1, -2, -1]"
desert,-2.9,47,0.538516481,"[-3, -3, -3, -2, -3, -3, -2, -3, -4, -3]"
strictly,-2.4,47,0.489897949,"[-2, -2, -2, -3, -3, -2, -2, -3, -3, -2]"
intent,-0.7,47,0.458257569,"[-1, 0, -1, -1, 0, -1, -1, -1, 0, -1]"
wary,-2.5,47,0.670820393,"[-1, -2, -2, -3, -3, -3, -3, -3, -3, -2]"
haven,2,47,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
gifted,3,46,0.632455532,"[3, 2, 3, 2, 3, 3, 3, 4, 3, 4]"
artificial,-2,46,0.632455532,"[-1, -2, -1, -2, -2, -2, -2, -2, -3, -3]"
refreshing,3,46,0.447213595,"[3, 3, 3, 3, 2, 4, 3, 3, 3, 3]"
objective,1.4,46,0.489897949,"[1, 1, 2, 2, 2, 2, 1, 1, 1, 1]"
differ,-2,45,0.447213595,"[-2, -3, -2, -2, -2, -2, -1, -2, -2, -2]"
revert,-1.4,45,0.663324958,"[-1, -2, -2, -1, -2, -1, 0, -1, -2, -2]"
unity,1.3,45,0.640312424,"[1, 2, 1, 2, 2, 1, 1, 1, 2, 0]"
eliminate,-1.3,45,0.458257569,"[-1, -1, -2, -1, -1, -2, -1, -1, -1, -2]"
merely,-2.6,44,0.489897949,"[-2, -2, -3, -3, -3, -2, -3, -2, -3, -3]"
contribution,0.6,44,0.663324958,"[1, 1, 1, 1, -1, 0, 1, 0, 1, 1]"
insights,1,44,0.447213595,"[2, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
filthy,-3.1,43,0.7,"[-2, -3, -2, -3, -4, -3, -4, -4, -3, -3]"
frequent,0.1,43,0.538516481,"[1, 0, 1, 0, 0, 0, 0, -1, 0, 0]"
scum,-2.2,43,0.6,"[-3, -2, -3, -2, -2, -1, -3, -2, -2, -2]"
skyrocketing,-1,43,0.774596669,"[-1, -2, 0, -1, -2, 0, -2, -1, 0, -1]"
urge,2.6,43,0.489897949,"[2, 3, 2, 3, 2, 3, 2, 3, 3, 3]"
stranger,-2.6,43,0.663324958,"[-2, -3, -3, -3, -2, -3, -1, -3, -3, -3]"
acknowledge,1.4,42,0.489897949,"[1, 2, 2, 1, 1, 1, 1, 1, 2, 2]"
resistant,-2,42,0.632455532,"[-2, -2, -3, -1, -2, -2, -2, -1, -2, -3]"
moral,2.1,42,0.538516481,"[2, 3, 2, 2, 2, 3, 2, 1, 2, 2]"
strict,-2.4,42,0.489897949,"[-3, -2, -2, -2, -2, -2, -3, -3, -2, -3]"
distinguish,2.2,42,0.6,"[2, 2, 3, 2, 3, 3, 1, 2, 2, 2]"
tender,2.1,41,0.538516481,"[1, 2, 3, 3, 2, 2, 2, 2, 2, 2]"
swipe,-3.5,41,0.5,"[-3, -3, -3, -4, -4, -4, -4, -3, -3, -4]"
celebrity,1.1,41,0.538516481,"[1, 1, 1, 2, 0, 1, 1, 1, 1, 2]"
balanced,1.5,41,0.5,"[2, 1, 1, 2, 2, 2, 1, 2, 1, 1]"
sane,3,41,0.447213595,"[3, 3, 3, 3, 3, 2, 4, 3, 3, 3]"
headache,-1.6,40,0.663324958,"[-2, -1, -1, -1, -2, -1, -2, -3, -1, -2]"
openly,2.3,40,0.458257569,"[2, 2, 2, 2, 2, 3, 3, 3, 2, 2]"
sounding,-1.3,40,0.458257569,"[-2, -1, -1, -1, -2, -2, -1, -1, -1, -1]"
destiny,0.4,40,0.489897949,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
